image_id,side,top_ratio,vertical_span,density,texture_std,green_saturation,green_dominant_ratio,grass_px
1401636471414590,left,0.545,0.5109,0.1094,29.93,0.5765,0.9014,299365
1402770704866843,left,0.4995,0.2638,0.0696,34.56,0.4054,0.6696,190527
1402825254856534,left,0.4906,0.4526,0.0858,26.8,0.4667,0.814,234796
1404082337919209,left,0.4975,0.2757,0.0608,26.27,0.3091,0.5168,166309
1404499181331339,left,0.5084,0.2421,0.1148,19.83,0.3163,0.5877,314272
1404609621388544,left,0.5415,0.5054,0.1419,37.09,0.4404,0.8747,388341
1404841128104239,left,0.4852,0.4847,0.079,30.5,0.4286,0.772,216147
1405495910981693,left,0.4832,0.0504,0.0033,45.14,0.3017,0.5312,8936
1405724494621190,left,0.4906,0.4901,0.1071,30.88,0.381,0.8888,293172
1406698610863964,left,0.5306,0.496,0.0805,29.31,0.4242,0.8652,220365
1407064061115153,left,0.5657,0.3651,0.1165,45.33,0.3568,0.4645,318818
1407181217727676,left,0.5232,0.4842,0.1012,27.88,0.4952,0.8009,277025
1407430561022768,left,0.4946,0.4773,0.1033,21.08,0.3298,0.6278,282606
1408124770696783,left,0.5375,0.4951,0.1733,29.62,0.5152,0.829,474183
1409370770879916,left,0.4956,0.4363,0.0413,27.3,0.303,0.8037,113023
1409631313935950,left,0.4921,0.4565,0.1073,20.98,0.5584,0.9396,293574
1409948393874832,left,0.5133,0.1122,0.002,23.8,0.3409,0.9403,5529
1409981440773259,left,0.5311,0.4007,0.0983,34.29,0.3636,0.8596,268988
1410600040794896,left,0.5336,0.501,0.0529,33.22,0.3766,0.6375,144640
1410992194015889,left,0.5855,0.5489,0.1443,35.43,0.4872,0.6439,394874
1411076667432963,left,0.4985,0.458,0.0578,33.41,0.369,0.7802,158042
1411274167139585,left,0.4906,0.4279,0.036,31.04,0.349,0.3304,98531
1412051067039762,left,0.4936,0.4634,0.1051,28.44,0.5354,0.8467,287694
1412388933100681,left,0.4852,0.4847,0.09,20.67,0.5143,0.8424,246151
1413592347212973,left,0.5227,0.4951,0.0832,38.43,0.4382,0.3248,227594
1414357893731429,left,0.4748,0.4145,0.0557,34.96,0.4194,0.6446,152353
1414386333431183,left,0.5178,0.4783,0.0769,32.34,0.4176,0.7731,210326
1414813140124562,left,0.5069,0.456,0.1272,30.21,0.4872,0.7751,348152
1414880346859462,left,0.5178,0.4862,0.0863,35.82,0.32,0.5392,236131
1415075110078551,left,0.5341,0.498,0.1342,32.96,0.4074,0.8582,367158
1415222840065712,left,0.5124,0.2653,0.0787,29.1,0.339,0.9018,215366
1416292793287898,left,0.5193,0.4753,0.1589,38.07,0.4911,0.8517,434703
1416812056773577,left,0.5217,0.4876,0.183,22.33,0.5402,0.9241,500905
1417733046559060,left,0.5064,0.4812,0.0893,22.14,0.4954,0.9204,244277
1417822573313789,left,0.5084,0.4827,0.0853,26.47,0.4494,0.5832,233528
1418151233241049,left,0.5049,0.4368,0.1312,19.94,0.4865,0.877,359033
1419305399573268,left,0.539,0.291,0.1227,34.81,0.3936,0.7899,335766
1420533849628690,left,0.4946,0.458,0.0739,27.93,0.4074,0.6608,202318
1420867799443437,left,0.5227,0.496,0.0857,30.71,0.4286,0.6925,234567
1422124462691963,left,0.5371,0.5099,0.1295,34.93,0.5538,0.8755,354440
1422130162685361,left,0.5341,0.5153,0.1703,31.7,0.5,0.8166,466135
1423458646182072,left,0.499,0.3216,0.1231,19.81,0.4667,0.912,336814
1423594969480409,left,0.5035,0.4674,0.0778,26.37,0.4844,0.6075,212794
1424394909094490,left,0.6556,0.6141,0.1627,32.95,0.3494,0.3549,445248
1424643549032381,left,0.5217,0.4773,0.1686,21.98,0.566,0.8389,461371
